year,corr_all_ratio,corr_bev_ratio,corr_phev_ratio
2014,0.0794117244308381,-0.10092883737767742,-0.10080593383358319
2015,0.08912812796446191,-0.08454649464655903,-0.11867580924277522
2016,0.14926846062706042,-0.06786653328134042,-0.10566255424794607
2017,0.28821970895674975,-0.05716307314234405,-0.09327783428575527
2018,0.3246003599529044,-0.05768836360649233,-0.07141031067269717
2019,0.36238701259104145,-0.063380383642222,-0.07569433587140424
2020,0.4814435014172731,-0.07288364949392556,-0.10756256724237692
2021,0.5060553730186941,-0.05926399163666651,-0.09796996577330662
