"company","layoff_number","layoff_percent","announcement_date","industry","headquarters","financing_stage","source","notes","City"
"View",170,0.23,"4/3/2023","Services","Milpitas, CA","Post-IPO","TheRealDeal",NA,"Milpitas"
"Hyland Software",NA,0.2,"4/3/2023","Business","Westlake, OH","Acquired","Cleveland",NA,"Westlake"
"AnswerLab",NA,0.17,"3/30/2023","Business","San Francisco, CA","Unknown","AnswerLab CEO Amy Buckner Chowdhry",NA,"San Francisco"
"Roku",200,0.06,"3/30/2023","Media","Los Gatos, CA","Post-IPO","Reuters",NA,"Los Gatos"
"Spotify",15,NA,"3/30/2023","Media","New York City, NY","Post-IPO","Bloomberg",NA,"New York City"
"LendingTree",150,0.13,"3/30/2023","Finance","Charlotte, NC","Post-IPO","Charlotte Business Journal",NA,"Charlotte"
"Hulu",200,NA,"3/30/2023","Media","Los Angeles, CA","Acquired","TheWrap",NA,"Los Angeles"
"Shift",NA,0.3,"3/29/2023","Business","San Francisco, CA","Post-IPO","TechCrunch",NA,"San Francisco"
"Drizly",100,NA,"3/29/2023","Food","Boston, MA","Acquired","Brewbound",NA,"Boston"
"Electronic Arts",780,0.06,"3/29/2023","Gaming","Redwood City, CA","Post-IPO","Wall Street Journal",NA,"Redwood City"
"CoverMyMeds",800,NA,"3/29/2023","Health","Columbus, OH","Acquired","The Columbus Dispatch",NA,"Columbus"
"AEye",46,0.33,"3/28/2023","Auto","Dublin, CA","Post-IPO","Aeye",NA,"Dublin"
"Blue Nile",119,NA,"3/28/2023","Business","Seattle, WA","Acquired","Retail Dive",NA,"Seattle"
"Lucid Motors",NA,0.18,"3/28/2023","Auto","Newark, CA","Post-IPO","TechCrunch",NA,"Newark"
"Disney",NA,NA,"3/28/2023","Media","Burbank, CA","Post-IPO","Wall Street Journal",NA,"Burbank"
"Rackspace",275,NA,"3/27/2023","Cloud","San Antonio, TX","Acquired","San Antonio Business Journal",NA,"San Antonio"
"The Meet Group",NA,NA,"3/24/2023","Social Related","New Hope, PA","Acquired","Technical.ly",NA,"New Hope"
"Aspiration",170,NA,"3/24/2023","Finance","Marina Del Rey, CA","Unknown","Crunchbase reports",NA,"Marina Del Rey"
"Veeam Software",200,NA,"3/23/2023","Business","Columbus, OH","Acquired","Blocks and Files",NA,"Columbus"
"Roofstock",NA,0.27,"3/22/2023","Prop Tech","Oakland, CA","Series E","TechCrunch",NA,"Oakland"
"Glassdoor",140,0.15,"3/22/2023","Human Resources","Mill Valley, CA","Acquired","Glassdoor",NA,"Mill Valley"
"Indeed",NA,0.15,"3/22/2023","Human Resources","Austin, TX","Acquired","Indeed",NA,"Austin"
"Logitech",300,NA,"3/22/2023","Consumer","Newark, CA","Post-IPO","Logitech",NA,"Newark"
"Expedia",NA,NA,"3/21/2023","Travel","Bellevue, WA","Post-IPO","GeekWire",NA,"Bellevue"
"Marvell",320,0.04,"3/21/2023","Hardware","Santa Clara, CA","Post-IPO","Bloomberg",NA,"Santa Clara"
"Amazon",9000,0.02,"3/20/2023","Business","Seattle, WA","Post-IPO","CNBC",NA,"Seattle"
"Freshworks",NA,NA,"3/16/2023","Customer Relationship","San Mateo, CA","Post-IPO","Money Control",NA,"San Mateo"
"Leafly",40,0.21,"3/16/2023","Health","Seattle, WA","Post-IPO","Leafly",NA,"Seattle"
"Course Hero",42,0.15,"3/16/2023","Education","Redwood City, CA","Series C","TechCrunch",NA,"Redwood City"
"Coherent",108,NA,"3/16/2023","Hardware","Santa Clara, CA","Post-IPO","SiliconValley.com",NA,"Santa Clara"
"Klaviyo",140,NA,"3/15/2023","Business","Boston, MA","Unknown","TechCrunch",NA,"Boston"
"Kaleidoscope",15,0.3,"3/14/2023","Social Related","Minneapolis, MN","Series A","MinneInno",NA,"Minneapolis"
"Samsung",30,NA,"3/14/2023","Consumer","Seoul, South Korea","Post-IPO","Zeebiz",NA,"Seoul"
"Anchorage Digital",75,0.2,"3/14/2023","Cryptocurrency","San Francisco, CA","Series D","The Information",NA,"San Francisco"
"Fetch",100,0.1,"3/14/2023","Business","Madison, WI","Series E","The Information",NA,"Madison"
"Meta",10000,NA,"3/14/2023","Social Related","Menlo Park, CA","Post-IPO","Meta",NA,"Menlo Park"
"Toucan",NA,1,"3/9/2023","Education","Santa Monica, CA","Series A","Toucan CEO Taylor Nieman",NA,"Santa Monica"
"Bonusly",NA,NA,"3/9/2023","Human Resources","Boulder, CO","Series B","Bonusly VP of People Operations Victoria Yang",NA,"Boulder"
"Morning Brew",40,NA,"3/9/2023","Media","New York City, NY","Acquired","Axios",NA,"New York City"
"Gopuff",100,0.02,"3/9/2023","Business","Philadelphia, PA","Series H","Bloomberg",NA,"Philadelphia"
"Wattpad",42,0.15,"3/8/2023","Media","Toronto, Canada","Acquired","Betakit",NA,"Toronto"
"Zulily",NA,NA,"3/7/2023","Business","Seattle, WA","Acquired","GeekWire","Less than 10% and fewer than 100 employees were laid off. Layoffs affected around 10% of employees.","Seattle"
"Take-Two Interactive",NA,NA,"3/7/2023","Gaming","New York City, NY","Post-IPO","GameSpot",NA,"New York City"
"Catch",NA,1,"3/7/2023","Insurance","New York City, NY","Series A","Catch",NA,"New York City"
"Zwift",80,0.15,"3/7/2023","Fitness","Long Beach, CA","Series C","DC Rainmaker",NA,"Long Beach"
"UKG",265,NA,"3/6/2023","Human Resources","Weston, FL","Unknown","Boston, MA",NA,"Weston"
"SiriusXM",475,0.08,"3/6/2023","Media","New York City, NY","Post-IPO","Variety",NA,"New York City"
"Indigo",NA,NA,"3/3/2023","Agriculture","Boston, MA","Series F","Boston Business Journal",NA,"Boston"
"Accolade",NA,NA,"3/3/2023","Health","Plymouth Meeting, PA","Post-IPO","Puget Sound Business Journal",NA,"Plymouth Meeting"
"Airbnb",30,NA,"3/3/2023","Services","San Francisco, CA","Post-IPO","Bloomberg",NA,"San Francisco"
"UserTesting",63,NA,"3/3/2023","Business","San Francisco, CA","Acquired","San Francisco Business Times",NA,"San Francisco"
"Embark Trucks",230,0.7,"3/3/2023","Auto","San Francisco, CA","Post-IPO","TechCrunch",NA,"San Francisco"
"Truckstop.com",NA,NA,"3/2/2023","Logistics","New Plymouth, ID","Acquired","Freightwaves",NA,"New Plymouth"
"Kandela",NA,1,"3/2/2023","Customer Relationship","Beverly Hills, CA","Acquired","TheRealDeal",NA,"Beverly Hills"
"CNET",12,0.1,"3/2/2023","Media","San Francisco, CA","Acquired","The Verge",NA,"San Francisco"
"MasterClass",79,NA,"3/2/2023","Education","San Francisco, CA","Series E","San Francisco Business Times",NA,"San Francisco"
"Zscaler",177,0.03,"3/2/2023","Business","San Jose, CA","Post-IPO","CRN",NA,"San Jose"
"Electronic Arts",200,NA,"3/1/2023","Gaming","Redwood City, CA","Post-IPO","Kotaku",NA,"Redwood City"
"Sonder",100,0.14,"3/1/2023","Services","San Francisco, CA","Post-IPO","SEC filings",NA,"San Francisco"
"Yellow.ai",200,NA,"3/1/2023","AI","San Mateo, CA","Series C","Inc42",NA,"San Mateo"
"Waymo",209,0.08,"3/1/2023","Auto","Mountain View, CA","Subsidiary","The Information",NA,"Mountain View"
"Thoughtworks",500,0.04,"3/1/2023","Human Resources","Chicago, IL","Post-IPO","TechCrunch",NA,"Chicago"
"Eventbrite",NA,0.08,"2/28/2023","Services","San Francisco, CA","Post-IPO","Reuters",NA,"San Francisco"
"MeridianLink",NA,0.09,"2/28/2023","Finance","Costa Mesa, CA","Post-IPO","MeridianLink",NA,"Costa Mesa"
"Cerebral",285,0.15,"2/27/2023","Health","San Francisco, CA","Series C","Business Insider",NA,"San Francisco"
"Palantir Technologies",75,0.02,"2/27/2023","Security","Denver, CO","Post-IPO","CNBC",NA,"Denver"
"Outreach",70,0.07,"2/27/2023","Business","Seattle, WA","Series G","GeekWire",NA,"Seattle"
"Stytch",19,0.25,"2/27/2023","Security","San Francisco, CA","Series B","Bay Area Inno",NA,"San Francisco"
"Twitter",200,0.1,"2/25/2023","Social Related","San Francisco, CA","Post-IPO","New York Times",NA,"San Francisco"
"Poshmark",NA,0.02,"2/24/2023","Fashion","Redwood City, CA","Acquired","TechCrunch",NA,"Redwood City"
"Ericsson",8500,0.08,"2/24/2023","Telecommunication","Plano, TX","Post-IPO","Reuters",NA,"Plano"
"Eat Just",40,NA,"2/24/2023","Food","San Francisco, CA","Unknown","Bloomberg",NA,"San Francisco"
"Messari",NA,0.15,"2/23/2023","Cryptocurrency","New York City, NY","Series B","Coindesk",NA,"New York City"
"StrongDM",40,NA,"2/23/2023","Security","Burlingame, CA","Series B","StrongDM",NA,"Burlingame"
"EVgo",40,NA,"2/23/2023","Electric Vehicle (EV)","Los Angeles, CA","Post-IPO","EVgo",NA,"Los Angeles"
"TaskUs",186,NA,"2/22/2023","Customer Relationship","Santa Monica, CA","Post-IPO","Express-News",NA,"Santa Monica"
"PeerStreet",NA,NA,"2/21/2023","Business","El Segundo, CA","Series C","The Business Journals",NA,"El Segundo"
"Ethos Life",50,NA,"2/21/2023","Insurance","San Francisco, CA","Series D","Coverager",NA,"San Francisco"
"Fireblocks",30,0.05,"2/20/2023","Cryptocurrency","New York City, NY","Series E","Calcalistech",NA,"New York City"
"Convoy",NA,NA,"2/16/2023","Logistics","Seattle, WA","Series E","TechCrunch",NA,"Seattle"
"The RealReal",230,0.07,"2/16/2023","Business","San Francisco, CA","Post-IPO","The Information",NA,"San Francisco"
"Pico Interactive",400,0.2,"2/16/2023","Media","San Francisco, CA","Acquired","San Francisco Business Times",NA,"San Francisco"
"DocuSign",680,0.1,"2/16/2023","Services","San Francisco, CA","Post-IPO","CNBC",NA,"San Francisco"
"KPMG",700,0.02,"2/16/2023","Finance","New York City, NY","Private Equity","Financial Times",NA,"New York City"
"Vicarious Surgical",NA,0.14,"2/15/2023","Media","Waltham, MA","Post-IPO","MedTech Dive",NA,"Waltham"
"Tackle",NA,0.15,"2/15/2023","Software","Boise, ID","Series C","Tackle",NA,"Boise"
"Observe.AI",NA,NA,"2/15/2023","AI","San Francisco, CA","Series C","Channel Futures",NA,"San Francisco"
"Divvy Homes",NA,NA,"2/15/2023","Prop Tech","San Francisco, CA","Series B","Inman",NA,"San Francisco"
"Betterment",28,NA,"2/15/2023","Finance","New York City, NY","Series F","Business Insider",NA,"New York City"
"Sprinklr",100,0.04,"2/15/2023","Customer Relationship","New York City, NY","Post-IPO","TechCrunch",NA,"New York City"
"DigitalOcean",200,0.11,"2/15/2023","Cloud","New York City, NY","Post-IPO","The Register",NA,"New York City"
"ServiceTitan",221,0.08,"2/15/2023","Customer Relationship","Glendale, CA","Series G","ServiceTitan",NA,"Glendale"
"Wix",370,0.06,"2/15/2023","Software","San Francisco, CA","Post-IPO","Calcalistech","Wix is based in Israel but has a large U.S. presence","San Francisco"
"Jellysmack",208,NA,"2/15/2023","Social Related","New York City, NY","Series C","The Information",NA,"New York City"
"Udemy",NA,0.1,"2/14/2023","Education","San Francisco, CA","Post-IPO","Udemy",NA,"San Francisco"
"HackerEarth",NA,0.08,"2/14/2023","Education","San Francisco, CA","Series B","Inc42",NA,"San Francisco"
"CommerceHub",371,0.31,"2/14/2023","Business","Albany, NY","Acquired","Albany Business Journal",NA,"Albany"
"LinkedIn",91,NA,"2/13/2023","Social Related","Sunnyvale, CA","Acquired","Silicon Valley Business Journal","This entry was updated when the number of layoffs was reported after the initial announcement of this round of job cuts.","Sunnyvale"
"Magic Eden",22,NA,"2/13/2023","Media","San Francisco, CA","Series B","Decrypt",NA,"San Francisco"
"Collective Health",54,NA,"2/13/2023","Health","San Mateo, CA","Series F","CEO Ali Diab",NA,"San Mateo"
"iRobot",85,0.07,"2/13/2023","Hardware","Bedford, MA","Acquired","CNBC",NA,"Bedford"
"Electric",141,0.25,"2/13/2023","Tech","New York City, NY","Series D","Electric",NA,"New York City"
"Twilio",NA,0.17,"2/13/2023","Business","San Francisco, CA","Post-IPO","Twilio",NA,"San Francisco"
"Rigetti Computing",NA,0.28,"2/10/2023","Tech","Berkeley, CA","Post-IPO","MarketWatch",NA,"Berkeley"
"TripleLeft",100,0.2,"2/10/2023","Advertising","New York City, NY","Acquired","AdExchanger",NA,"New York City"
"GitHub",NA,0.1,"2/9/2023","Software","San Francisco, CA","Acquired","Fortune",NA,"San Francisco"
"Bark",126,0.12,"2/9/2023","Consumer","New York City, NY","Post-IPO","Bark",NA,"New York City"
"GitLab",130,0.35,"2/9/2023","Software","San Francisco, CA","Post-IPO","GitLab",NA,"San Francisco"
"Yahoo",1600,0.2,"2/9/2023","Tech","Dulles, VA","Acquired","Axios",NA,"Dulles"
"Equitybee",25,0.25,"2/8/2023","Finance","San Francisco, CA","Series B","Calcalistech",NA,"San Francisco"
"Gong",80,0.07,"2/8/2023","Telecommunication","San Francisco, CA","Series E","Calcalistech",NA,"San Francisco"
"Gusto",126,0.05,"2/8/2023","Human Resources","San Francisco, CA","Series E","Gusto",NA,"San Francisco"
"Affirm",500,0.19,"2/8/2023","Finance","San Francisco, CA","Post-IPO","Wall Street Journal",NA,"San Francisco"
"GoDaddy",530,0.08,"2/8/2023","Software","Scottsdale, AZ","Post-IPO","Tech Startups",NA,"Scottsdale"
"Salesloft",100,0.1,"2/7/2023","Customer Relationship","Atlanta, GA","Acquired","Atlanta Business Journal",NA,"Atlanta"
"SecureWorks",212,0.09,"2/7/2023","Cybersecurity","Atlanta, GA","Post-IPO","MarketWatch",NA,"Atlanta"
"eBay",500,0.04,"2/7/2023","Business","San Jose, CA","Post-IPO","Reuters",NA,"San Jose"
"Zoom",1300,0.15,"2/7/2023","Telecommunication","San Jose, CA","Post-IPO","CNBC",NA,"San Jose"
"Clari",20,NA,"2/6/2023","Software","Sunnyvale, CA","Series F","Business Insider",NA,"Sunnyvale"
"Drift",59,NA,"2/6/2023","Business","Boston, MA","Acquired","Boston Business Journal",NA,"Boston"
"Dell",6650,0.05,"2/6/2023","Hardware","Round Rock, TX","Post-IPO","Bloomberg",NA,"Round Rock"
"Sana Benefits",NA,0.19,"2/6/2023","Human Resources","Austin, TX","Series B","Sana Benefits",NA,"Austin"
"Kyruus",70,NA,"2/5/2023","Health","Boston, MA","Unknown","Fierce Healthcare",NA,"Boston"
"Protocol Labs",89,0.2,"2/3/2023","Cybersecurity","San Francisco, CA","Unknown","Forbes",NA,"San Francisco"
"Talkdesk",NA,NA,"2/2/2023","Customer Relationship","San Francisco, CA","Series D","UC Today",NA,"San Francisco"
"Getaround",NA,0.1,"2/2/2023","Services","San Francisco, CA","Post-IPO","TechCrunch",NA,"San Francisco"
"Desktop Metal",NA,NA,"2/2/2023","Services","Burlington, MA","Post-IPO","Boston Business Journal",NA,"Burlington"
"Articulate",38,NA,"2/2/2023","Education","New York City, NY","Series A","CEO Lucy Suros",NA,"New York City"
"Highspot",100,0.1,"2/2/2023","Business","Seattle, WA","Series F","GeekWire",NA,"Seattle"
"Miro",119,0.07,"2/2/2023","Services","San Francisco, CA","Series C","Miro",NA,"San Francisco"
"Mindstrong Health",127,NA,"2/2/2023","Health","Menlo Park, CA","Series C","Silicon Valley Business Journal",NA,"Menlo Park"
"Autodesk",250,0.02,"2/2/2023","Prop Tech","San Rafael, CA","Post-IPO","Bloomberg",NA,"San Rafael"
"Okta",300,0.05,"2/2/2023","Business","San Francisco, CA","Post-IPO","Bloomberg",NA,"San Francisco"
"Rivian",NA,0.06,"2/1/2023","Electric Vehicle (EV)","Plymouth, MI","Post-IPO","Reuters",NA,"Plymouth"
"Match Group",NA,0.08,"2/1/2023","Social Related","New York City, NY","Post-IPO","Bloomberg",NA,"New York City"
"Bustle Digital Group",NA,0.08,"2/1/2023","Media","New York City, NY","Series E","Variety",NA,"New York City"
"TheSkimm",17,0.1,"2/1/2023","Media","New York City, NY","Series C","Business Insider",NA,"New York City"
"Picnic",NA,NA,"2/1/2023","Food","Seattle, WA","Unknown","GeekWire",NA,"Seattle"
"Exterro",24,0.03,"2/1/2023","Tech","Beaverton, OR","Private Equity","OregonLive",NA,"Beaverton"
"AppGate",34,0.08,"2/1/2023","Cybersecurity","Coral Gables, FL","Post-IPO","SEC filings",NA,"Coral Gables"
"Chainalysis",44,0.05,"2/1/2023","Cryptocurrency","New York City, NY","Series F","Forbes",NA,"New York City"
"Wheel",56,0.28,"2/1/2023","Health","Austin, TX","Series C","Becker's Hospital Review",NA,"Austin"
"Workato",90,0.1,"2/1/2023","Services","Mountain View, CA","Series E","Business Insider",NA,"Mountain View"
"Cyren",121,NA,"2/1/2023","Cloud","McLean, VA","Post-IPO","Cyren",NA,"McLean"
"DraftKings",140,0.04,"2/1/2023","Sports","Boston, MA","Post-IPO","CNBC",NA,"Boston"
"Pinterest",150,NA,"2/1/2023","Social Related","San Francisco, CA","Post-IPO","Bloomberg",NA,"San Francisco"
"Splunk",325,0.04,"2/1/2023","Data","San Francisco, CA","Post-IPO","MarketWatch",NA,"San Francisco"
"Upstart",365,0.2,"1/31/2023","Finance","San Carlos, CA","Post-IPO","MarketWatch",NA,"San Carlos"
"PayPal",NA,0.07,"1/31/2023","Finance","San Jose, CA","Post-IPO","CNBC",NA,"San Jose"
"Tilting Point",60,0.17,"1/31/2023","Gaming","New York City, NY","Unknown","mobilegamerbiz",NA,"New York City"
"Wish",150,NA,"1/31/2023","Business","San Francisco, CA","Post-IPO","Wish",NA,"San Francisco"
"HubSpot",500,0.07,"1/31/2023","Business","Cambridge, MA","Post-IPO","HubSpot",NA,"Cambridge"
"Workday",525,0.03,"1/31/2023","Human Resources","Pleasanton, CA","Post-IPO","CNBC",NA,"Pleasanton"
"NetApp",960,0.08,"1/31/2023","Cloud","Sunnyvale, CA","Post-IPO","The Register",NA,"Sunnyvale"
"SoFi",NA,NA,"1/30/2023","Finance","San Francisco, CA","Post-IPO","American Banker",NA,"San Francisco"
"Prime Trust",NA,0.33,"1/30/2023","Finance","Las Vegas, NV","Series B","CoinDesk",NA,"Las Vegas"
"BM Technologies",NA,0.25,"1/30/2023","Finance","Radnor, PA","Post-IPO","BM Technologies",NA,"Radnor"
"Impossible Foods",140,0.2,"1/30/2023","Food","Redwood City, CA","Series H","Bloomberg",NA,"Redwood City"
"Intel",343,NA,"1/30/2023","Business","Santa Clara, CA","Post-IPO","SFGate",NA,"Santa Clara"
"Groupon",500,NA,"1/30/2023","Business","Chicago, IL","Post-IPO","Chicago Business",NA,"Chicago"
"CoinTracker",19,NA,"1/28/2023","Cryptocurrency","San Francisco, CA","Series A","CoinTracker",NA,"San Francisco"
"Decent",NA,NA,"1/27/2023","Health","San Francisco, CA","Series A","Decent",NA,"San Francisco"
"Synopsys",100,NA,"1/27/2023","Hardware","Mountain View, CA","Post-IPO","East Bay Times",NA,"Mountain View"
"Ruggable",100,NA,"1/27/2023","Consumer","Gardena, CA","Seed","Modern Retail",NA,"Gardena"
"Confluent",221,0.08,"1/26/2023","Media","Mountain View, CA","Post-IPO","SEC filings",NA,"Mountain View"
"SAP",3000,0.03,"1/26/2023","Business","Newton, PA","Post-IPO","CNBC",NA,"Newton"
"Clear Capital",250,NA,"1/25/2023","Prop Tech","Truckee, CA","Unknown","Reno Gazette Journal",NA,"Truckee"
"Shutterfly",360,NA,"1/25/2023","Business","Redwood City, CA","Acquired","The Dead Pixels Society",NA,"Redwood City"
"IBM",3900,0.02,"1/25/2023","Hardware","Armonk, NY","Post-IPO","Bloomberg",NA,"Armonk"
"Noom",NA,NA,"1/25/2023","Fitness","New York City, NY","Series F","Mobi Health News",NA,"New York City"
"Innovaccer",245,0.15,"1/24/2023","Cloud","San Francisco, CA","Series E","Digital Health",NA,"San Francisco"
"Bolt",50,0.1,"1/24/2023","Finance","San Francisco, CA","Series F","The Information",NA,"San Francisco"
"Bolt",200,0.25,"1/24/2023","Finance","San Francisco, CA","Series F","Forbes",NA,"San Francisco"
"Reddit",NA,NA,"1/24/2023","Social Related","San Francisco, CA","Series F","Business Insider",NA,"San Francisco"
"PagerDuty",NA,0.07,"1/24/2023","Data","San Francisco, CA","Post-IPO","MarketWatch",NA,"San Francisco"
"Corvus Insurance",NA,0.14,"1/24/2023","AI","Boston, MA","Series C","BostonInno",NA,"Boston"
"Vacasa",1300,0.17,"1/24/2023","Business","Portland, OR","Post-IPO","The Oregonian",NA,"Portland"
"Spotify",600,0.06,"1/23/2023","Media","New York City, NY","Post-IPO","Spotify CEO",NA,"New York City"
"Gemini",NA,0.07,"1/23/2023","Cryptocurrency","New York City, NY","Unknown","The Information",NA,"New York City"
"Ermetic",30,0.17,"1/23/2023","Cloud","Palo Alto, CA","Series B","Calcalistech",NA,"Palo Alto"
"Innovid",40,0.1,"1/23/2023","Advertising","New York City, NY","Post-IPO","MarketWatch",NA,"New York City"
"Uber Freight",150,0.03,"1/23/2023","Logistics","San Francisco, CA","Subsidiary","FreightWaves",NA,"San Francisco"
"Yext",NA,0.08,"1/23/2023","Advertising","New York City, NY","Post-IPO","MarketWatch",NA,"New York City"
"Vox Media",169,0.02,"1/20/2023","Media","Washington, DC","Series F","CNN",NA,"Washington"
"Alphabet",12000,NA,"1/20/2023","Tech","Mountain View, CA","Post-IPO","CNBC",NA,"Mountain View"
"Wayfair",1750,0.1,"1/20/2023","Business","Boston, MA","Post-IPO","Wall Street Journal",NA,"Boston"
"TikTok",NA,NA,"1/20/2023","Social Related","Los Angeles, CA","Acquired","Business Insider","TikTok is owned by China-based ByteDance, but the layoffs affected staff in the U.S. The compay also conducted layoffs in July.","Los Angeles"
"Zappos",NA,NA,"1/20/2023","Business","Las Vegas, NV","Acquired","Las Vegas Review-Journal",NA,"Las Vegas"
"Morning Consult",NA,NA,"1/20/2023","Data","Washington, DC","Series B","Washington Business Journal",NA,"Washington"
"Avalara",NA,NA,"1/20/2023","Finance","Seattle, WA","Acquired","GeekWire",NA,"Seattle"
"Citrine Informatics",22,0.27,"1/20/2023","Data","Redwood City, CA","Series C","CEO Greg Mulholland",NA,"Redwood City"
"Edifecs",30,NA,"1/20/2023","Health","Bellevue, WA","Unknown","GeekWire",NA,"Bellevue"
"Karat",47,NA,"1/20/2023","Human Resources","Seattle, WA","Series C","GeekWire",NA,"Seattle"
"Inspirato",NA,0.12,"1/19/2023","Travel","Denver, CO","Post-IPO","Skift",NA,"Denver"
"WeWork",300,NA,"1/19/2023","Business","New York City, NY","Post-IPO","WeWork",NA,"New York City"
"Capital One",1100,NA,"1/19/2023","Finance","McLean, VA","Post-IPO","Reuters",NA,"McLean"
"Starry",100,0.24,"1/18/2023","Telecommunication","Boston, MA","Post-IPO","SEC filings",NA,"Boston"
"Microsoft",10000,0.05,"1/18/2023","Business","Seattle, WA","Post-IPO","Microsoft",NA,"Seattle"
"Pagaya",NA,0.2,"1/18/2023","Finance","New York City, NY","Post-IPO","Reuters",NA,"New York City"
"80 Acres Farms",NA,0.1,"1/18/2023","Agriculture","Hamilton, OH","Unknown","CincinnatiInno",NA,"Hamilton"
"Addepar",20,0.03,"1/18/2023","Finance","Mountain View, CA","Series F","Fortune",NA,"Mountain View"
"nCino",100,0.07,"1/18/2023","Finance","Wilmington, NC","Post-IPO","Port City Daily",NA,"Wilmington"
"JumpCloud",100,0.12,"1/18/2023","Cloud","Louisville, CO","Series F","JumpCloud",NA,"Louisville"
"8x8",155,0.07,"1/18/2023","Telecommunication","San Jose, CA","Post-IPO","Channel Futures",NA,"San Jose"
"Teladoc Health",300,0.06,"1/18/2023","Health","Purchase, NY","Post-IPO","Digital Health",NA,"Purchase"
"Vroom",275,NA,"1/18/2023","Auto","New York City, NY","Post-IPO","Seeking Alpha",NA,"New York City"
"RingCentral",30,NA,"1/17/2023","Software","Belmont, CA","Post-IPO","Channel Futures",NA,"Belmont"
"Unity",284,NA,"1/17/2023","Gaming","San Francisco, CA","Post-IPO","WSJ",NA,"San Francisco"
"RateGenius",NA,NA,"1/17/2023","Consumer","Austin, TX","Acquired","AustinInno",NA,"Austin"
"Luxury Presence",44,NA,"1/17/2023","Prop Tech","Santa Monica, CA","Series B","Inman",NA,"Santa Monica"
"Oracle",NA,NA,"1/17/2023","Software","Austin, TX","Post-IPO","Business Insider",NA,"Austin"
"Carvana",NA,NA,"1/13/2023","Auto","Tempe, AZ","Post-IPO","WSJ",NA,"Tempe"
"Jellyfish US",NA,0.09,"1/13/2023","Hardware","Boston, MA","Series C","BostonInno",NA,"Boston"
"GoCanvas",NA,NA,"1/13/2023","Services","Reston, VA","Acquired","GoCanvas CEO Viyas Sundaram",NA,"Reston"
"CoSchedule",NA,NA,"1/13/2023","Services","Bismarck, ND","Unknown","Inforum",NA,"Bismarck"
"Vial",40,NA,"1/13/2023","Health","San Francisco, CA","Series B","Business Insider",NA,"San Francisco"
"Bonterra",140,0.1,"1/13/2023","Social Related","Louisville, KY","Unknown","The Nonprofit Times",NA,"Louisville"
"Snappy",100,0.3,"1/13/2023","Social Related","New York City, NY","Series C","Calcalistech",NA,"New York City"
"Career Karma",22,NA,"1/12/2023","Human Resources","San Francisco, CA","Series B","TechCrunch",NA,"San Francisco"
"Career Karma",60,NA,"1/12/2023","Human Resources","San Francisco, CA","Series B","TechCrunch",NA,"San Francisco"
"Rock Content",NA,0.15,"1/12/2023","Business","Boca Raton, FL","Series B","Terra",NA,"Boca Raton"
"Life360",NA,0.14,"1/12/2023","Software","San Francisco, CA","Post-IPO","Life360 statement",NA,"San Francisco"
"Lattice",NA,0.15,"1/12/2023","Business","San Francisco, CA","Series F","Lattice CEO Jack Altman",NA,"San Francisco"
"Definitive Healthcare",55,0.06,"1/12/2023","Health","Framingham, MA","Post-IPO","CMLVIZ",NA,"Framingham"
"Greenlight",104,0.21,"1/12/2023","Finance","Atlanta, GA","Series D","TechCrunch",NA,"Atlanta"
"Lending Club",225,0.14,"1/12/2023","Finance","San Francisco, CA","Post-IPO","Bloomberg",NA,"San Francisco"
"Akili Interactive Labs",46,0.3,"1/12/2023","Health","Boston, MA","Post-IPO","Behavioral Health Business",NA,"Boston"
"Qualtrics",270,0.05,"1/11/2023","Software","Provo, UT","Post-IPO","MarketWatch",NA,"Provo"
"Oyster",NA,NA,"1/11/2023","Human Resources","Charlotte, NC","Series C","Oyster",NA,"Charlotte"
"Limeade",NA,0.15,"1/11/2023","Human Resources","Bellevue, WA","Series C","GeekWire",NA,"Bellevue"
"Embark",NA,NA,"1/11/2023","Health","Boston, MA","Series B","Embark CEP Ryan Boyko",NA,"Boston"
"Carta",NA,0.1,"1/11/2023","Finance","San Francisco, CA","Series G","TechCrunch",NA,"San Francisco"
"Citizen",33,NA,"1/11/2023","Security","New York City, NY","Series C","TechCrunch",NA,"New York City"
"Intrinsic",40,0.2,"1/11/2023","Hardware","Mountain View, CA","Acquired","This Information",NA,"Mountain View"
"HashiCorp",69,NA,"1/11/2023","Cybersecurity","San Francisco, CA","Post-IPO","Crunchbase News Reporting",NA,"San Francisco"
"CoinDCX",100,0.06,"1/11/2023","Cryptocurrency","Mumbai, India","Series D","Biometric Update",NA,"Mumbai"
"Tipalti",123,0.11,"1/11/2023","Finance","San Mateo, CA","Series F","Calcalistech",NA,"San Mateo"
"Verily",250,0.15,"1/11/2023","Health","San Francisco, CA","Private Equity","The Information",NA,"San Francisco"
"Flexport",640,0.2,"1/11/2023","Logistics","San Francisco, CA","Series E","CNBC",NA,"San Francisco"
"Coinbase",950,0.2,"1/10/2023","Cryptocurrency","San Francisco, CA","Post-IPO","CNBC",NA,"San Francisco"
"Blend",340,0.28,"1/10/2023","Finance","San Francisco, CA","Post-IPO","Inman",NA,"San Francisco"
"100 Thieves",NA,NA,"1/10/2023","Gaming","Los Angeles, CA","Series C","Dexerto",NA,"Los Angeles"
"Esper",NA,0.21,"1/10/2023","Software","Seattle, WA","Series A","GeekWire",NA,"Seattle"
"Esper",NA,0.12,"1/10/2023","Software","Seattle, WA","Series A","GeekWire",NA,"Seattle"
