"company","layoff_number","layoff_percent","announcement_date","industry","headquarters","financing_stage","source","notes","City"
"Version1",6,NA,"7/26/2023","Gaming","Minneapolis, MN","Unknown","The ESports Advocate",NA,"Minneapolis"
"Pluralsight",NA,NA,"7/25/2023","Education","Salt Lake City, UT","Acquired","The Salt Lake Tribune",NA,"Salt Lake City"
"Biogen",NA,0.11,"7/25/2023","Biotech","Cambridge, MA","Unknown","Forbes",NA,"Cambridge"
"Deep Instinct",46,0.15,"7/25/2023","Cybersecurity","New York City, NY","Series D","Calcalist",NA,"New York City"
"Esports Engine",65,NA,"7/25/2023","Gaming","Columbus, OH","Unknown","Dexerto",NA,"Columbus"
"Sequoia Capital",7,NA,"7/24/2023","Business","Menlo Park, CA","Seed","Forbes",NA,"Menlo Park"
"Zebra Technologies",NA,0.03,"7/24/2023","Software","Lincolnshire, IL","Post-IPO","Crain's Chicago Business",NA,"Lincolnshire"
"PathAI",87,NA,"7/21/2023","Health","Boston, MA","Series C","Bostinno",NA,"Boston"
"Square Roots Urban Grower",NA,NA,"7/21/2023","Tech","Brooklyn, NY","Unknown","Business Insider",NA,"Brooklyn"
"Foxo Technologies",7,NA,"7/21/2023","Biotech","Minneapolis, MN","Unknown","MarketScreener",NA,"Minneapolis"
"Phunware",NA,0.33,"7/20/2023","Business","Austin, TX","Post-IPO","Seeking Alpha",NA,"Austin"
"Stoa",80,0.8,"7/20/2023","Business","Phoenix, AZ","Unknown","Calcalist",NA,"Phoenix"
"FibroGen",104,0.32,"7/20/2023","Biotech","San Francisco, CA","Unknown","SF Gate",NA,"San Francisco"
"Inspirato",50,0.06,"7/20/2023","Travel","Denver, CO","Post-IPO","Skift",NA,"Denver"
"AgentSync",67,0.24,"7/19/2023","Finance","Denver, CO","Series B","Layoffs.fyi",NA,"Denver"
"Activision Blizzard",50,NA,"7/19/2023","Gaming","Santa Monica, CA","Unknown","engadget",NA,"Santa Monica"
"Tempo Automation",58,NA,"7/18/2023","Auto","San Francisco, CA","Post-IPO","Industry Insider",NA,"San Francisco"
"Cameo",80,NA,"7/18/2023","Media","Chicago, IL","Unknown","The Information",NA,"Chicago"
"Peloton",11,NA,"7/17/2023","Fitness","New York City, NY","Post-IPO","Patch",NA,"New York City"
"Expedia",NA,NA,"7/17/2023","Travel","Bellevue, WA","Post-IPO","PhocusWire",NA,"Bellevue"
"ezoic",NA,0.28,"7/17/2023","Hardware","San Diego, CA","Series A","Company Letter",NA,"San Diego"
"Code42",NA,NA,"7/17/2023","Cybersecurity","Minneapolis, MN","Unknown","Blocks and Files",NA,"Minneapolis"
"Sarcos",75,0.25,"7/17/2023","Hardware","Salt Lake City, UT","Post-IPO","The Robot Report",NA,"Salt Lake City"
"Butterfly Network",NA,0.25,"7/14/2023","Health","Burlington, MA","Post-IPO","MarketScreener",NA,"Burlington"
"PayScale",14,0.02,"7/14/2023","Human Resources","Seattle, WA","Acquired","Puget Sound Business Journal",NA,"Seattle"
"Mutiny",NA,NA,"7/14/2023","Advertising","San Francisco, CA","Series B","The Information",NA,"San Francisco"
"Amazon",80,NA,"7/13/2023","Business","Seattle, WA","Post-IPO","Semafor",NA,"Seattle"
"Deepwatch",30,0.07,"7/13/2023","Security","Tampa, FL","Series C","Company email",NA,"Tampa"
"Netlify",NA,NA,"7/13/2023","Finance","San Francisco, CA","Series D","Economic Times",NA,"San Francisco"
"Freightos",50,0.13,"7/12/2023","Logistics","Miami, FL","Post-IPO","Sourcing Journals",NA,"Miami"
"Circle",NA,NA,"7/12/2023","Cryptocurrency","Boston, MA","Private Equity","Axios",NA,"Boston"
"CyberGRX",NA,NA,"7/12/2023","Security","Denver, CO","Acquired","Denver Business Journal",NA,"Denver"
"Matterport",170,0.3,"7/11/2023","Data","San Francisco, CA","Post-IPO","SEC",NA,"San Francisco"
"Everquote",100,NA,"7/11/2023","Finance","Boston, MA","Post-IPO","Insurance Journal",NA,"Boston"
"Sisense",100,0.15,"7/11/2023","Data","New York City, NY","Series F","Calcalist",NA,"New York City"
"Built Technologies",NA,NA,"7/11/2023","Services","Nashville, TN","Unknown","NashvillePost",NA,"Nashville"
"Shift",NA,0.34,"7/11/2023","Travel","San Francisco, CA","Post-IPO","Seeking Alpha",NA,"San Francisco"
"Sumo Logic",79,NA,"7/11/2023","Data","Redwood City, CA","Acquired","Silicon Valley Busines Journal",NA,"Redwood City"
"Intel Corp",108,NA,"7/11/2023","Hardware","Santa Clara, CA","Unknown","Silicon Valley Busines Journal",NA,"Santa Clara"
"Primary.Health",60,NA,"7/11/2023","Health","San Francisco, CA","Unknown","Silicon Valley Busines Journal",NA,"San Francisco"
