Name,Ticker,Layoff,PctLayoff,DateLayoff,Industry,Headquarters,FinancingStage
Redfin,RDFN,201,0.04,4/11/2023,Prop Tech,"Seattle, WA",Post-IPO
Redfin,RDFN,1332,NA,11/9/2022,Prop Tech,"Seattle, WA",Post-IPO
Opendoor,OPEN,550,0.18,11/2/2022,Prop Tech,"San Francisco, CA",Post-IPO
Zillow,Z,300,0.05,10/26/2022,Prop Tech,"Seattle, WA",Post-IPO
Compass,COMP,271,NA,9/21/2022,Prop Tech,"New York City, NY",Post-IPO
Latch,LTCH,115,0.37,8/2/2022,Prop Tech,"New York City, NY",Post-IPO
Compass,COMP,450,0.1,6/14/2022,Prop Tech,"New York City, NY",Post-IPO
Redfin,RDFN,470,0.08,6/14/2022,Prop Tech,"Seattle, WA",Post-IPO
Autodesk,ADSK,250,0.02,2/2/2023,Prop Tech,"San Rafael, CA",Post-IPO
AppFolio,APPF,149,0.09,8/17/2023,Prop Tech,"Goleta, CA",Post-IPO
AppFolio,APPF,62,NA,5/22/2023,Prop Tech,"Goleta, CA",Post-IPO
Vacasa,VCSA,1300,0.17,1/24/2023,Business,"Portland, OR",Post-IPO
WeWork,WEWOQ,300,NA,1/19/2023,Business,"New York City, NY",Post-IPO
ZipRecruiter,ZIP,270,0.2,5/31/2023,Human Resources,"Santa Monica, CA",Post-IPO
Shutterfly,SFLY,360,NA,1/25/2023,Business,"Redwood City, CA",Acquired
Shutterfly,SFLY,246,NA,8/10/2023,Business,"Redwood City, CA",Acquired
Uber,UBER,200,NA,6/21/2023,Services,"San Francisco, CA",Post-IPO
Lyft,LYFT,700,0.13,11/3/2022,Travel,"San Francisco, CA",Post-IPO
Lyft,LYFT,60,0.02,7/20/2022,Travel,"San Francisco, CA",Post-IPO
Bird,BIRD,138,0.23,6/7/2022,Travel,"Santa Monica, CA",Post-IPO
iRobot,IRBT,85,0.07,2/13/2023,Hardware,"Bedford, MA",Acquired
Qualtrics,XM,270,0.05,1/11/2023,Software,"Seattle, WA",Acquired
RingCentral,RNG,30,NA,1/17/2023,Software,"Belmont, CA",Post-IPO
F5,FFIV,623,0.09,4/19/2023,Software,"Seattle, WA",Post-IPO
F5,FFIV,120,0.02,11/3/2023,Software,"Seattle, WA",Post-IPO
Palantir Technologies,PLTR,75,0.02,2/27/2023,Security,"Denver, CO",Post-IPO
Marvell,MRVL,320,0.04,3/21/2023,Hardware,"Santa Clara, CA",Post-IPO
Intel Corp,INTC,108,NA,7/11/2023,AI,"Santa Clara, CA",Post-IPO
Synopsys,SNPS,100,NA,1/27/2023,Hardware,"Mountain View, CA",Post-IPO
View,VIEW,170,0.23,4/3/2023,Services,"Milpitas, CA",Post-IPO
Latch,LTCH,30,0.06,5/13/2022,Prop Tech,"New York City, NY",Post-IPO
Snap,SNAP,500,0.1,2/5/2024,Social Related,"Venice, CA",Post-IPO
Snap,SNAP,20,NA,11/8/2023,Social Related,"Venice, CA",Post-IPO
Nextdoor,KIND,99,0.25,11/7/2023,Social Related,"San Francisco, CA",Unknown
Snap,SNAP,150,NA,9/27/2023,Social Related,"Venice, CA",Post-IPO
Grindr,GRND,82,0.46,9/7/2023,Social Related,"West Hollywood, CA",Unknown
Twitter,TWTR,200,0.1,2/25/2023,Social Related,"San Francisco, CA",Post-IPO
Twitter,TWTR,40,NA,1/5/2023,Social Related,"San Francisco, CA",Post-IPO
Twitter,TWTR,3700,0.5,11/4/2022,Social Related,"San Francisco, CA",Post-IPO
Snap,SNAP,1280,0.2,8/31/2022,Social Related,"Venice, CA",Post-IPO
BuzzFeed,BZFD,180,0.15,4/20/2023,Media,"New York City, NY",Post-IPO
BuzzFeed,BZFD,180,0.12,12/6/2022,Media,"New York City, NY",Post-IPO
