Name,Ticker,Layoff,PctLayoff,DateLayoff,Industry,Headquarters,FinancingStage
DocuSign,DOCU,680,0.1,2/16/2023,Services,"San Francisco, CA",Post-IPO
Rivian Automotive,RIVN,20,NA,12/8/2023,Electric Vehicle (EV),"Plymouth, MI",Post-IPO
Tesla,TSLA,55,NA,8/21/2023,Electric Vehicle (EV),"Austin, TX",Post-IPO
Nikola Motor Company,NKLA,270,NA,6/16/2023,Electric Vehicle (EV),"Phoenix, AZ",Unknown
TuSimple,TSPH,330,0.3,5/17/2023,Electric Vehicle (EV),"San Diego, CA",Post-IPO
TuSimple,TSPH,350,0.25,12/21/2022,Electric Vehicle (EV),"San Diego, CA",Post-IPO
Rivian,RIVN,840,0.06,7/28/2022,Electric Vehicle (EV),"Plymouth, MI",Post-IPO
EVgo,EVGO,40,NA,2/23/2023,Electric Vehicle (EV),"Los Angeles, CA",Post-IPO
Analog Devices,ADI,111,NA,12/13/2023,Hardware,"Norwood, MA",Post-IPO
TTM Technologies,TTMI,240,NA,10/2/2023,Hardware,"Santa Clara, CA",Unknown
Jabil,JBL,140,NA,10/20/2023,Hardware,"St. Petersburg, FL",Unknown
Enphase Energy,ENPH,350,0.1,12/18/2023,Energy,"Fremont, CA",Post-IPO
Twilio,TWLO,300,0.05,12/4/2023,Business,"San Francisco, CA",Post-IPO
Microsoft,MSFT,158,NA,5/10/2023,Business,"Seattle, WA",Post-IPO
Microsoft,MSFT,10000,0.05,1/18/2023,Business,"Seattle, WA",Post-IPO
BlackLine,BL,95,0.05,12/8/2022,Business,"Los Angeles, CA",Post-IPO
Twilio,TWLO,800,0.11,9/14/2022,Business,"San Francisco, CA",Post-IPO
Zendesk,ZEN,320,0.08,5/31/2023,Business,"San Francisco, CA",Acquired
Zendesk,ZEN,350,0.05,11/7/2022,Business,"San Francisco, CA",Acquired
Intel,INTC,343,NA,1/30/2023,AI,"Santa Clara, CA",Post-IPO
Intel,INTC,226,NA,8/17/2023,AI,"Santa Clara, CA",Post-IPO
Intel,INTC,140,NA,8/17/2023,AI,"Santa Clara, CA",Post-IPO
Okta,OKTA,300,0.05,2/2/2023,Business,"San Francisco, CA",Post-IPO
Okta,OKTA,24,NA,8/26/2022,Business,"San Francisco, CA",Post-IPO
Okta,OKTA,400,0.07,2/1/2024,Business,"San Francisco, CA",Post-IPO
BlackLine Systems Inc.,BL,21,NA,10/2/2023,Business,"Los Angeles, CA",Post-IPO
SAP,SAP,3000,0.03,1/26/2023,Business,"Newtown Square, PA",Post-IPO
Cisco,CSCO,4100,0.05,11/16/2022,Business,"San Jose, CA",Post-IPO
Oracle,ORCL,200,NA,11/2/2022,Software,"Austin, TX",Post-IPO
F5,FFIV,100,0.01,10/21/2022,Software,"Seattle, WA",Post-IPO
Salesforce,CRM,700,0.01,1/26/2024,Business,"San Francisco, CA",Post-IPO
Zscaler,ZS,177,0.03,3/2/2023,Business,"San Jose, CA",Post-IPO
Dropbox,DBX,500,0.16,4/27/2023,Telecommunication,"San Francisco, CA",Post-IPO
Affirm,AFRM,60,NA,2/21/2024,Finance,"San Francisco, CA",Post-IPO
Robinhood Markets Inc.,HOOD,3,NA,10/2/2023,Finance,"Menlo Park, CA",Post-IPO
BlackLine,BL,95,0.05,8/23/2023,Business,"Los Angeles, CA",Post-IPO
Everquote,EVER,100,NA,7/11/2023,Finance,"Cambridge, MA",Post-IPO
Robinhood,HOOD,150,0.07,6/26/2023,Finance,"Menlo Park, CA",Post-IPO
Payoneer,PAYO,200,0.1,6/26/2023,Finance,"New York City, NY",Post-IPO
Robinhood,HOOD,713,0.23,8/2/2022,Finance,"Menlo Park, CA",Post-IPO
PayPal,PYPL,83,NA,5/23/2022,Finance,"San Jose, CA",Post-IPO
Robinhood,HOOD,340,0.09,4/26/2022,Finance,"Menlo Park, CA",Post-IPO
Lending Club,LC,225,0.14,1/12/2023,Finance,"San Francisco, CA",Post-IPO
Lending Club,LC,172,0.14,10/12/2023,Finance,"San Francisco, CA",Post-IPO
LendingTree,TREE,150,0.13,3/30/2023,Finance,"San Francisco, CA",Post-IPO
Affirm,AFRM,500,0.19,2/8/2023,Finance,"San Francisco, CA",Post-IPO
Blend,BLND,340,0.28,1/10/2023,Finance,"San Francisco, CA",Post-IPO
Blend,BLND,100,0.06,11/10/2022,Finance,"San Francisco, CA",Post-IPO
Blend,BLND,220,0.12,8/15/2022,Finance,"San Francisco, CA",Post-IPO
Blend,BLND,200,0.1,4/19/2022,Finance,"San Francisco, CA",Post-IPO
Blend Labs,BLND,150,0.19,8/10/2023,Finance,"San Francisco, CA",Post-IPO
nCino,NCNO,100,0.07,1/18/2023,Finance,"Wilmington, NC",Post-IPO
Peloton,PTON,6,NA,10/26/2023,Fitness,"New York City, NY",Post-IPO
Peloton,PTON,11,NA,7/17/2023,Fitness,"New York City, NY",Post-IPO
Peloton,PTON,784,0.13,8/12/2022,Fitness,"New York City, NY",Post-IPO
Beachbody,BODY,70,0.1,1/27/2022,Fitness,"Santa Monica, CA",Unknown
Lululemon Studio,LULU,120,NA,9/28/2023,Fitness,"New York City, NY",Acquired
Beyond Meat,BYND,65,0.19,11/2/2023,Food,"Manhattan Beach, CA",Post-IPO
Olo,OLO,81,0.11,6/14/2023,Food,"New York City, NY",Unknown
Grubhub,GRUB,400,0.15,6/12/2023,Food,"San Francisco, CA",Acquired
DoorDash,DASH,1250,0.06,11/30/2022,Food,"San Francisco, CA",Post-IPO
Beyond Meat,BYND,200,0.19,10/14/2022,Food,"Manhattan Beach, CA",Post-IPO
Beyond Meat,BYND,40,NA,8/3/2022,Food,"Manhattan Beach, CA",Post-IPO
Upwork,UPWK,137,0.15,5/3/2023,Services,"San Francisco, CA",Post-IPO
Twitch,AMZN,500,0.35,1/9/2024,Gaming,"San Francisco, CA",Acquired
